Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
MHW331-RG	Unknown Library	1191567.0	42101755.0	990661.0	0.0	418080.0	8376994.0	7017064.0	0.20109	440801073.0
MHW332-RG	Unknown Library	1622323.0	41650473.0	870983.0	0.0	613907.0	11371010.0	10231062.0	0.275024	422455442.0
MHW333-RG	Unknown Library	1333041.0	40380956.0	836599.0	0.0	469584.0	10086591.0	8885088.0	0.25145	402245228.0
MHW334-RG	Unknown Library	1523004.0	44971375.0	1003731.0	0.0	559727.0	10416251.0	9163755.0	0.233882	499845407.0
MHW335-RG	Unknown Library	2022329.0	41137542.0	4930903.0	0.0	710100.0	5647547.0	4247510.0	0.142415	473637676.0
MHW336-RG	Unknown Library	1832075.0	44410865.0	1639743.0	0.0	568897.0	6613192.0	5379643.0	0.152175	604421209.0
MHW337-RG	Unknown Library	1441814.0	37744952.0	1137944.0	0.0	396794.0	4957287.0	4026017.0	0.134033	599146584.0
MHW338-RG	Unknown Library	1872403.0	42944885.0	1451930.0	0.0	525959.0	5452618.0	4436560.0	0.130252	716834217.0
MHW339-RG	Unknown Library	1475237.0	41106678.0	1345515.0	0.0	400322.0	4822267.0	3610645.0	0.120027	567627179.0
MHW340-RG	Unknown Library	2423443.0	43935862.0	3576867.0	0.0	809672.0	6137907.0	5026903.0	0.144919	668291536.0
MHW341-RG	Unknown Library	1769680.0	46393893.0	1543048.0	0.0	520970.0	5778118.0	4515714.0	0.127723	680589221.0
MHW342-RG	Unknown Library	2041816.0	48764398.0	1587152.0	0.0	621288.0	6450810.0	5035670.0	0.135812	660966535.0
MHW343-RG	Unknown Library	2369940.0	47322450.0	4862873.0	0.0	800764.0	5965809.0	4733670.0	0.131242	721772994.0
MHW344-RG	Unknown Library	1907160.0	52033089.0	2033622.0	0.0	617413.0	6577919.0	4907956.0	0.129969	649115423.0
MHW345-RG	Unknown Library	1465156.0	46156830.0	1044036.0	0.0	512907.0	9050189.0	7576896.0	0.198481	492187249.0
MHW347-RG	Unknown Library	1130567.0	40666767.0	909829.0	0.0	364978.0	7400314.0	6108384.0	0.183906	450615712.0
MHW348-RG	Unknown Library	1287272.0	40295977.0	923783.0	0.0	446198.0	8415268.0	7128412.0	0.211003	416303328.0
MHW349-RG	Unknown Library	1070642.0	36227471.0	829449.0	0.0	351775.0	7268930.0	6098633.0	0.20251	377718222.0
MHW350-RG	Unknown Library	1013733.0	38861161.0	900689.0	0.0	326153.0	6968910.0	5600044.0	0.181162	392929499.0
MHW351-RG	Unknown Library	1289798.0	41930153.0	900890.0	0.0	450446.0	9213372.0	7820650.0	0.221693	406243246.0
MHW352-RG	Unknown Library	1220616.0	42020977.0	933814.0	0.0	417601.0	8328461.0	6887603.0	0.200258	416546936.0
MHW353-RG	Unknown Library	1117154.0	37299606.0	817871.0	0.0	365683.0	7111756.0	5981765.0	0.192682	423485632.0
MHW407-RG	Unknown Library	1307298.0	42552908.0	913665.0	0.0	429283.0	8393136.0	7109288.0	0.199224	477364643.0
MHW410-RG	Unknown Library	1279855.0	43425476.0	905044.0	0.0	419442.0	8985813.0	7608401.0	0.208679	453661542.0
MHW419-RG	Unknown Library	1291751.0	42068010.0	926317.0	0.0	441473.0	8603145.0	7397945.0	0.206581	487053066.0
MHW420-RG	Unknown Library	989525.0	36107983.0	811196.0	0.0	317939.0	7024710.0	5773879.0	0.196261	357636190.0
MHW421-RG	Unknown Library	1067263.0	35070844.0	877972.0	0.0	363829.0	7205604.0	6047788.0	0.207488	354021423.0
MHW422-RG	Unknown Library	1116667.0	39006499.0	917450.0	0.0	383350.0	8051085.0	6717126.0	0.208336	379954061.0
MHW424-RG	Unknown Library	923074.0	32823661.0	779512.0	0.0	293293.0	6260187.0	5237127.0	0.192483	362678183.0
MHW425-RG	Unknown Library	1007222.0	34025923.0	821174.0	0.0	323630.0	6656473.0	5518795.0	0.197462	347588729.0
MHW426-RG	Unknown Library	1076369.0	34511621.0	849241.0	0.0	358419.0	7315525.0	6248266.0	0.213831	364756124.0
MHW427-RG	Unknown Library	976446.0	35732527.0	868482.0	0.0	316650.0	6802917.0	5752452.0	0.192189	417760037.0
MHW429-RG	Unknown Library	1253716.0	43582669.0	1066231.0	0.0	417140.0	8037531.0	6621469.0	0.186523	469968804.0
MHW431-RG	Unknown Library	1039766.0	37898780.0	908653.0	0.0	341872.0	6847309.0	5651079.0	0.182678	423846119.0
MHW432-RG	Unknown Library	1182103.0	40987667.0	968316.0	0.0	392773.0	7912270.0	6688986.0	0.195019	469334454.0
