Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct
MHW073-RG	0.138029	0.007410165	993717.0	64743530.0	100.0	92.28527699987937	15.691299192367175	64743530.0	65737247	65737247	100.0
MHW074-RG	0.154694	0.007393775	1679464.0	88165831.0	100.0	89.0335735620753	15.531708650259304	88165831.0	89845295	89845295	100.0
MHW075-RG	0.152909	0.007325933	996592.0	67047762.0	100.0	91.99251721481771	15.640138741692825	67047762.0	68044354	68044354	100.0
MHW076-RG	0.144543	0.007348584	1418193.0	78681106.0	100.0	90.79708666016973	16.064793242738606	78681106.0	80099299	80099299	100.0
MHW077-RG	0.125724	0.007451585	983838.0	66926769.0	100.0	92.91070961456394	16.055137817873742	66926769.0	67910607	67910607	100.0
MHW078-RG	0.129019	0.007261999	1012684.0	65565255.0	100.0	91.72865719808456	16.280107505110745	65565255.0	66577939	66577939	100.0
MHW079-RG	0.151003	0.00739195	1741886.0	78462730.0	100.0	86.63211947889144	16.456731750220772	78462730.0	80204616	80204616	100.0
MHW080-RG	0.151172	0.007412078	1542593.0	67022931.0	100.0	87.21773746361525	16.345699653153037	67022931.0	68565524	68565524	100.0
MHW081-RG	0.11988	0.007283748	1952062.0	67095112.0	100.0	86.88904193199647	16.32746659697058	67095112.0	69047174	69047174	100.0
MHW082-RG	0.139022	0.007519477	1640343.0	73132557.0	100.0	87.9347402005922	15.654465630129682	73132557.0	74772900	74772900	100.0
MHW083-RG	0.133644	0.007303659	1505099.0	73300855.0	100.0	90.15233451233277	15.655042495752609	73300855.0	74805954	74805954	100.0
MHW084-RG	0.142432	0.007353716	1910824.0	78406096.0	100.0	86.83527107382059	16.24613473931925	78406096.0	80316920	80316920	100.0
MHW085-RG	0.116524	0.007623765	1087346.0	65545010.0	100.0	92.71637612077564	16.610501699519155	65545010.0	66632356	66632356	100.0
MHW086-RG	0.123745	0.007336955	1802323.0	69879935.0	100.0	85.03319872864793	16.534279832973514	69879935.0	71682258	71682258	100.0
MHW087-RG	0.127543	0.007404034	2853397.0	84490728.0	100.0	84.16983222111661	16.68522965028778	84490728.0	87344125	87344125	100.0
MHW088-RG	0.148446	0.007136902	2978646.0	75481447.0	100.0	78.26668717678399	16.41618767589339	75481447.0	78460093	78460093	100.0
MHW089-RG	0.129478	0.007532333	4303552.0	73306024.0	100.0	76.42783899997086	17.295893718093343	73306024.0	77609576	77609576	100.0
MHW090-RG	0.130553	0.007545401	2775418.0	66352949.0	100.0	82.41523673650134	16.433161094316997	66352949.0	69128367	69128367	100.0
MHW091-RG	0.128675	0.007771983	895335.0	66066779.0	100.0	95.57364677941995	19.341849554978303	66066779.0	66962114	66962114	100.0
MHW092-RG	0.130776	0.007999479	1075270.0	67372368.0	100.0	94.84069789561204	21.100469557489802	67372368.0	68447638	68447638	100.0
MHW093-RG	0.121465	0.008523086	1348084.0	77376217.0	100.0	94.79491611744213	24.2059662854802	77376217.0	78724301	78724301	100.0
MHW094-RG	0.130204	0.008471836	1462545.0	82518019.0	100.0	94.16106317336582	24.17228169280215	82518019.0	83980564	83980564	100.0
MHW095-RG	0.131278	0.008127378	1367168.0	82756753.0	100.0	94.96284853031874	22.09331968353084	82756753.0	84123921	84123921	100.0
MHW096-RG	0.149904	0.007780507	1391357.0	98450525.0	100.0	95.45469056665772	19.28338624908298	98450525.0	99841882	99841882	100.0
MHW097-RG	0.098477	0.008923165	3878437.0	66117030.0	100.0	85.78542926081224	29.903332015972282	66117030.0	69995467	69995467	100.0
MHW098-RG	0.076452	0.008091507	9547393.0	59467281.0	100.0	74.76768947953077	25.949730239053643	59467281.0	69014674	69014674	100.0
MHW099-RG	0.075945	0.008130576	6462474.0	63711287.0	100.0	79.88957749354522	23.4898127234504	63711287.0	70173761	70173761	100.0
MHW100-RG	0.082375	0.008401445	8616598.0	68293491.0	100.0	78.85180155748664	24.270809351362637	68293491.0	76910089	76910089	100.0
MHW101-RG	0.079719	0.007918004	9567237.0	66526526.0	100.0	72.24182726751732	22.510934961491902	66526526.0	76093763	76093763	100.0
MHW102-RG	0.089379	0.007961094	10894301.0	73740522.0	100.0	74.23969686572059	23.444987275788474	73740522.0	84634823	84634823	100.0
MHW103-RG	0.101876	0.007535541	7404366.0	63977797.0	100.0	69.55076930829613	19.763701772976024	63977797.0	71382163	71382163	100.0
MHW104-RG	0.080246	0.007889987	5101664.0	61721221.0	100.0	81.49944408909214	21.73938036643831	61721221.0	66822885	66822885	100.0
MHW105-RG	0.090737	0.007771752	2908222.0	65225351.0	100.0	86.82799115944965	20.618159647772536	65225351.0	68133573	68133573	100.0
MHW106-RG	0.115388	0.007278128	10493698.0	65413448.0	100.0	56.99600180073063	21.168356696317247	65413448.0	75907146	75907146	100.0
MHW107-RG	0.102997	0.007598741	2301272.0	64595136.0	100.0	88.58148390615665	19.0417077223895	64595136.0	66896408	66896408	100.0
MHW108-RG	0.087954	0.00785043	4967010.0	69386975.0	100.0	83.64501550903466	20.806537538205117	69386975.0	74353985	74353985	100.0
MHW109-RG	0.09313	0.0078743	3943261.0	65383932.0	100.0	84.23464957720806	20.935330105261947	65383932.0	69327193	69327193	100.0
MHW110-RG	0.097069	0.008330013	4637453.0	74744197.0	100.0	87.26560270625424	23.54505059436253	74744197.0	79381650	79381650	100.0
MHW111-RG	0.111811	0.007582983	2230298.0	69564799.0	100.0	87.80671672752192	18.60203750462932	69564799.0	71795097	71795097	100.0
MHW112-RG	0.093427	0.007843548	2863153.0	57178392.0	100.0	85.02072251349776	21.6284326428767	57178392.0	60041545	60041545	100.0
MHW113-RG	0.097499	0.008303685	2788496.0	62818464.0	100.0	88.38340587251544	24.353341399751514	62818464.0	65606960	65606960	100.0
MHW114-RG	0.096372	0.007619865	15044823.0	64624271.0	100.0	61.17278754293414	24.65050321418713	64624271.0	79669094	79669094	100.0
MHW115-RG	0.106703	0.007786066	2282816.0	97762025.0	100.0	92.99857894719345	19.686801700353488	97762025.0	100044841	100044841	100.0
MHW116-RG	0.097625	0.007858352	1450284.0	69066980.0	100.0	92.61235687444275	18.969304868983702	69066980.0	70517264	70517264	100.0
MHW117-RG	0.093925	0.008105139	2232040.0	74944950.0	100.0	91.22521263941066	20.333081815385825	74944950.0	77176990	77176990	100.0
MHW118-RG	0.092868	0.008188001	2838068.0	68048346.0	100.0	88.60949831168563	19.3344008684649	68048346.0	70886414	70886414	100.0
MHW119-RG	0.116167	0.007992552	2159944.0	79649138.0	100.0	90.49538991872078	19.52354085740388	79649138.0	81809082	81809082	100.0
MHW120-RG	0.129838	0.008380651	1310247.0	81149645.0	100.0	94.68932612089677	22.82945908142913	81149645.0	82459892	82459892	100.0
MHW121-RG	0.162537	0.007659988	1389123.0	101184422.0	100.0	95.02747567209506	19.657875794358937	101184422.0	102573545	102573545	100.0
MHW122-RG	0.132596	0.007844491	1179330.0	84249146.0	100.0	95.52875705113972	20.44399476761462	84249146.0	85428476	85428476	100.0
MHW123-RG	0.164928	0.007765874	1356667.0	92470529.0	100.0	94.73397735185445	18.991624888400928	92470529.0	93827196	93827196	100.0
MHW124-RG	0.125925	0.008702214	1771443.0	91457591.0	100.0	94.32336130524146	24.942463223200356	91457591.0	93229034	93229034	100.0
MHW125-RG	0.144302	0.007521196	1084400.0	86243617.0	100.0	95.69895474119552	18.97672728637993	86243617.0	87328017	87328017	100.0
MHW126-RG	0.132078	0.009052793	1276653.0	74231077.0	100.0	94.75667179124991	29.788663850317032	74231077.0	75507730	75507730	100.0
