Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
MHW035-RG	85469519.0	0.0	85469519.0	1.0	43011083.0	42458436.0	85469519.0	83583254.0	0.0	75828222.0	85469519.0	0.0	13567749.0	0.0	1976000.0	0.0	12315360138.0	6220019255.0	6095340883.0	12315360138.0	11598122487.0	0.0	0.0	86923457.0	0.007494615	144.0	145.0	144.0	150.0	150.0	150.0	39.4	250.8	102.5	35663575.0	2444390.0	99254.0	3584408.0	88.7	100.0	97.79305532303276	0.0	88.71960774694426	100.0	0.0	15.87437154057226	0.0
MHW036-RG	76605501.0	0.0	76605501.0	1.0	38549474.0	38056027.0	76605501.0	74729756.0	0.0	64208050.0	76605501.0	0.0	13823783.0	0.0	3968866.0	0.0	11082913133.0	5595576929.0	5487336204.0	11082913133.0	10096456347.0	0.0	0.0	322558024.0	0.03194765	144.0	145.0	144.0	150.0	150.0	150.0	39.4	349.0	847.3	30208541.0	2352141.0	160316.0	4643880.0	83.8	100.0	97.55142257995284	0.0	83.81650033200619	100.0	0.0	18.045418174342338	0.0
MHW037-RG	75830417.0	0.0	75830417.0	1.0	38122076.0	37708341.0	75830417.0	74168080.0	0.0	68063970.0	75830417.0	0.0	11911411.0	0.0	1550367.0	0.0	10934494438.0	5516522147.0	5417972291.0	10934494438.0	10314622097.0	0.0	0.0	76963720.0	0.007461613	144.0	145.0	144.0	150.0	150.0	150.0	39.4	252.6	100.2	32139358.0	2055369.0	80270.0	2809043.0	89.8	100.0	97.80782294788119	0.0	89.75813755580428	100.0	0.0	15.707959248067963	0.0
MHW038-RG	81664029.0	0.0	81664029.0	1.0	41092161.0	40571868.0	81664029.0	79856082.0	0.0	71849358.0	81664029.0	0.0	13354070.0	0.0	2277597.0	0.0	11742205268.0	5929169856.0	5813035412.0	11742205268.0	11017833838.0	0.0	0.0	83816137.0	0.007607316	143.0	144.0	143.0	150.0	150.0	150.0	39.4	239.2	96.6	33474797.0	2638932.0	103026.0	3711286.0	88.0	100.0	97.78611584299864	0.0	87.98164734194047	100.0	0.0	16.352450599761617	0.0
MHW039-RG	107287095.0	0.0	107287095.0	1.0	53862670.0	53424425.0	107287095.0	105272686.0	0.0	101058102.0	107287095.0	0.0	15876204.0	0.0	1133693.0	0.0	15552778145.0	7836593667.0	7716184478.0	15552778145.0	14892257975.0	0.0	0.0	107790698.0	0.007238036	144.0	145.0	144.0	150.0	150.0	150.0	39.3	307.5	113.7	49074970.0	1676988.0	69242.0	1815143.0	94.2	100.0	98.12241257907114	0.0	94.19408923319249	100.0	0.0	14.797869212508735	0.0
MHW040-RG	106051510.0	0.0	106051510.0	1.0	53199383.0	52852127.0	106051510.0	104489748.0	0.0	100995742.0	106051510.0	0.0	16948993.0	0.0	1150258.0	0.0	15233645534.0	7665600469.0	7568045065.0	15233645534.0	14470540449.0	0.0	0.0	105311836.0	0.007277672	143.0	144.0	143.0	150.0	150.0	150.0	39.4	261.5	109.1	47423795.0	3250584.0	56131.0	1514364.0	95.2	100.0	98.52735524463536	0.0	95.23272417337574	100.0	0.0	15.98184976338385	0.0
MHW041-RG	93137937.0	0.0	93137937.0	1.0	46719832.0	46418105.0	93137937.0	91706966.0	0.0	88528052.0	93137937.0	0.0	14873907.0	0.0	1079038.0	0.0	13426509140.0	6754556323.0	6671952817.0	13426509140.0	12767146302.0	0.0	0.0	94695235.0	0.007417103	144.0	145.0	144.0	150.0	150.0	150.0	39.4	266.0	106.2	41985833.0	2437024.0	53410.0	1377216.0	95.1	100.0	98.46360028352356	0.0	95.05047551139124	100.0	0.0	15.969762138923047	0.0
MHW042-RG	102869668.0	0.0	102869668.0	1.0	51623349.0	51246319.0	102869668.0	101205694.0	0.0	97737506.0	102869668.0	0.0	15103085.0	0.0	1038725.0	0.0	14883784493.0	7493351939.0	7390432554.0	14883784493.0	14204535555.0	0.0	0.0	101013511.0	0.007111356	144.0	145.0	144.0	150.0	150.0	150.0	39.4	283.9	115.0	46791841.0	2266966.0	56422.0	1487618.0	95.0	100.0	98.38244447333105	0.0	95.01100557649316	100.0	0.0	14.681767029713754	0.0
MHW043-RG	101133571.0	0.0	101133571.0	1.0	50750680.0	50382891.0	101133571.0	99436442.0	0.0	95902614.0	101133571.0	0.0	15125562.0	0.0	1058481.0	0.0	14628788496.0	7364835673.0	7263952823.0	14628788496.0	13939091730.0	0.0	0.0	100944828.0	0.007241852	144.0	145.0	144.0	150.0	150.0	150.0	39.3	287.6	115.1	45954253.0	2189622.0	58098.0	1516248.0	94.8	100.0	98.32189352831217	0.0	94.82767497649223	100.0	0.0	14.956024839664764	0.0
MHW044-RG	95152177.0	0.0	95152177.0	1.0	47712223.0	47439954.0	95152177.0	93792150.0	0.0	90599468.0	95152177.0	0.0	15279157.0	0.0	1142347.0	0.0	13620523570.0	6847217961.0	6773305609.0	13620523570.0	12895397239.0	0.0	0.0	95982585.0	0.007443166	143.0	144.0	143.0	150.0	150.0	150.0	39.4	249.6	104.8	42151663.0	3300573.0	51535.0	1392304.0	95.2	100.0	98.57068220309873	0.0	95.21533910884666	100.0	0.0	16.0576010783232	0.0
