Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
13.flexbar_trim.R_2	70.72087877074668	49.0	144.35240142622607	150	27.27272727272727	17283375.0
131.flexbar_trim.R_1	54.343456355065996	47.0	140.89477584906163	150	18.181818181818183	8424948.0
131.flexbar_trim.R_2	56.66895185291067	49.0	141.1223263336462	150	18.181818181818183	8424948.0
137.flexbar_trim.R_1	61.09432567029619	48.0	143.5059353414683	150	18.181818181818183	7728199.0
137.flexbar_trim.R_2	64.27607302518588	50.0	143.66160783385624	150	18.181818181818183	7728199.0
138.flexbar_trim.R_1	66.0680361030797	47.0	144.86882381645393	150	18.181818181818183	7914394.0
138.flexbar_trim.R_2	68.58614099969833	49.0	144.97578197395782	150	27.27272727272727	7914394.0
139.flexbar_trim.R_1	62.9661645746764	47.0	143.71876267195637	150	18.181818181818183	9025836.0
139.flexbar_trim.R_2	65.31713113384221	49.0	143.88569036707514	150	27.27272727272727	9025836.0
140.flexbar_trim.R_1	60.16463296702947	46.0	144.48128342608655	150	9.090909090909092	8847132.0
140.flexbar_trim.R_2	62.17844712081581	49.0	144.6329240933672	150	18.181818181818183	8847132.0
147.flexbar_trim.R_1	60.60661424698898	45.0	142.32908299088737	150	27.27272727272727	8149461.0
147.flexbar_trim.R_2	63.240621916862	47.0	142.60707892215203	150	18.181818181818183	8149461.0
148.flexbar_trim.R_1	69.59073031591426	47.0	140.36883779636082	150	18.181818181818183	23084741.0
148.flexbar_trim.R_2	71.51004060913908	48.0	140.61525134719943	150	27.27272727272727	23084741.0
149.flexbar_trim.R_1	85.45524753834594	51.0	136.79692834521114	150	27.27272727272727	89957700.0
149.flexbar_trim.R_2	88.47049285594845	53.0	137.2021245985613	150	27.27272727272727	89957700.0
150.flexbar_trim.R_1	72.62417842228659	46.0	136.7215051728214	150	18.181818181818183	25502427.0
150.flexbar_trim.R_2	74.59216787599928	47.0	137.04662093533295	150	27.27272727272727	25502427.0
18.flexbar_trim.R_1	70.14627068439925	47.0	144.13297176973757	150	18.181818181818183	16557161.0
18.flexbar_trim.R_2	71.34988263701123	49.0	144.29660809603772	150	9.090909090909092	16557161.0
19-G.flexbar_trim.R_1	45.14581108808068	47.0	143.47334243039748	150	9.090909090909092	21250812.0
19-G.flexbar_trim.R_2	48.18094009204438	48.0	143.67767405781953	150	18.181818181818183	21250812.0
19-S.flexbar_trim.R_1	45.60433250170646	50.0	142.31751985872296	150	0.0	22425158.0
19-S.flexbar_trim.R_2	49.4146005141439	51.0	142.5556512021008	150	0.0	22425158.0
19.flexbar_trim.R_1	69.78978140915584	46.0	145.14055268059474	150	9.090909090909092	16644478.0
19.flexbar_trim.R_2	71.77565096264146	48.0	145.22950999124154	150	18.181818181818183	16644478.0
2.flexbar_trim.R_1	68.9874745950478	50.0	143.21962010032252	150	9.090909090909092	18269876.0
2.flexbar_trim.R_2	72.11132418615182	52.0	143.43152361844164	150	9.090909090909092	18269876.0
20-G.flexbar_trim.R_1	44.34360166498435	47.0	143.48092054021933	150	9.090909090909092	22360696.0
20-G.flexbar_trim.R_2	47.671018951719304	49.0	143.67460337549423	150	18.181818181818183	22360696.0
20-S.flexbar_trim.R_1	42.32063710256742	48.0	144.03691268422733	150	9.090909090909092	15323188.0
20-S.flexbar_trim.R_2	45.23844704838517	49.0	144.1764958440763	150	9.090909090909092	15323188.0
20.flexbar_trim.R_1	70.97045394004797	47.0	144.2311985014335	150	27.27272727272727	16033456.0
20.flexbar_trim.R_2	72.36370341778964	50.0	144.36162359506272	150	18.181818181818183	16033456.0
21.flexbar_trim.R_1	69.34781930197838	47.0	145.1850029853974	150	27.27272727272727	16202198.0
